crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year
16299221,20,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xg500,2015
16287763,33,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,honda,trx250,2007
16287770,47,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,fld,2009
16289474,20,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,yamaha,yzfr1,2017
16289872,44,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,yamaha,xv1600,2001
16290175,65,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,fld,2009
16297503,60,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,fld,2002
16298200,34,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2007
16291417,46,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2006
16291490,53,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2007
16291620,47,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,zg1400,2013
16294099,31,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,suzuki,xl-7,1998
16300003,80,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,flstc,2007
16302237,31,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxdb,201
16292338,47,b - black,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2015
16293186,18,a - asian,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gs300,2005
16294134,45,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxwg,201
16294172,58,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,201
16294567,27,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,gl1100,1983
16294861,50,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2007
16296254,25,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fxdc,2013
16298472,54,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xlx,2016
16298555,42,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,kawasaki,vn1500,2003
16298805,47,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flht,2015
16299730,35,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,yamaha,fz1,2009
16300856,56,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,kawasaki,kz1000,2013
16301726,24,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx-r600,2005
16303316,28,w - white,1 - male,1,k - fatal injury,mc - motorcycle,red - red,harley-davidson,vrscd,2006
16345671,32,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2014
16293730,34,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,sv1000,2007
16295311,55,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flt,2016
