crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_defect_1,vehicle_make,vehicle_model_name,vehicle_model_year
17559570,58,h - hispanic,1 - male,1,k - fatal injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2002.0
17559664,61,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),suzuki,unknown (suzuki),2006.0
17559745,54,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),suzuki,m109r / vzr1800 (suzuki),2008.0
17558223,51,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),honda,unknown (honda),2006.0
17558992,49,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,98 - other  (explain in narrative),yamaha,fz09 (yamaha),2016.0
17559706,37,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2015.0
17560494,73,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,yel - yellow,10 - defective or no vehicle brakes,bmw,r1200 (bmw),2007.0
17562734,51,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flhc (harley-davidson),2007.0
17563231,71,w - white,1 - male,0,k - fatal injury,mc - motorcycle,red - red,98 - other  (explain in narrative),yamaha,yw125 (yamaha),2018.0
17620015,51,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),honda,unknown (honda),2007.0
17621569,24,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fls (harley-davidson),2017.0
17622807,52,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,fld (harley-davidson),2001.0
17753735,24,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),yamaha,fzr600 (yamaha),2007.0
17616624,44,h - hispanic,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flstc (harley-davidson),1995.0
17616656,27,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),suzuki,gsx750 (suzuki),2013.0
17622424,48,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,xl1200 (harley-davidson),1998.0
17622944,25,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),yamaha,yzfr1 (yamaha),2006.0
17625202,47,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),honda,cb500 (honda),2018.0
17618164,26,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),honda,cb900 (honda),1998.0
17614937,40,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flhx (harley-davidson),2013.0
17619380,26,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,99 - unknown,98 - other  (explain in narrative),kawasaki,unknown (kawasaki),2018.0
17625010,24,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,vt750 (honda),2003.0
17625057,70,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2003.0
17616811,55,w - white,1 - male,0,n - not injured,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2013.0
17617287,48,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fls (harley-davidson),2013.0
17618554,23,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,gld - gold,98 - other  (explain in narrative),harley-davidson,flhxs (harley-davidson),2015.0
17619403,75,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2012.0
17622624,62,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,gld - gold,98 - other  (explain in narrative),harley-davidson,fls (harley-davidson),2008.0
17620046,23,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,98 - other  (explain in narrative),harley-davidson,fls (harley-davidson),2020.0
17622824,52,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2002.0
17623266,33,h - hispanic,1 - male,0,k - fatal injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),yamaha,unknown (yamaha),2006.0
17624032,34,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,ninja zx (kawasaki),2009.0
17626900,49,b - black,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,ninja zx (kawasaki),2015.0
17626991,61,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flst (harley-davidson),2017.0
17621728,43,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),honda,na50 (honda),2001.0
17615594,15,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,grn - green,98 - other  (explain in narrative),kawasaki,klx140 (kawasaki),2020.0
17616891,23,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,ninja zx (kawasaki),2009.0
17617224,31,w - white,1 - male,0,n - not injured,mc - motorcycle,blu - blue,98 - other  (explain in narrative),suzuki,gsx-r1000 (suzuki),2015.0
17617391,58,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2005.0
17617544,24,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,98 - other  (explain in narrative),honda,rvt1000 (honda),2004.0
17618675,46,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),all other makes,unknown (all other makes),2018.0
17623927,27,w - white,1 - male,0,n - not injured,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,vt600 (honda),2000.0
17624284,44,h - hispanic,1 - male,1,n - not injured,mc - motorcycle,grn - green,98 - other  (explain in narrative),triumph car,unknown (triumph car),2015.0
17624391,30,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fxb (harley-davidson),2020.0
17624868,41,w - white,2 - female,0,n - not injured,mc - motorcycle,whi - white,98 - other  (explain in narrative),harley-davidson,flsl (harley-davidson),2019.0
17629133,26,b - black,1 - male,0,n - not injured,mc - motorcycle,sil - silver,98 - other  (explain in narrative),suzuki,unknown (suzuki),2008.0
17629135,32,b - black,1 - male,0,n - not injured,mc - motorcycle,whi - white,98 - other  (explain in narrative),honda,unknown (honda),1993.0
17619062,67,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2012.0
17624359,34,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,98 - other  (explain in narrative),honda,gl1800 (honda),2003.0
17624387,60,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flhc (harley-davidson),1997.0
17627065,19,a - asian,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,98 - other  (explain in narrative),honda,cbr500 (honda),2018.0
17621169,48,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,xl1200 (harley-davidson),2004.0
17621519,20,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,ninja zx (kawasaki),2013.0
17622324,56,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,gl1800 (honda),2012.0
17620373,25,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,98 - other  (explain in narrative),harley-davidson,xlh883 (harley-davidson),2020.0
