,crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year,vehicle_make_country,injury_binary,safety_score
11914,17094357,17,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx,2009,japan,1,0.9151406315172023
11915,17095966,54,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,vrscr,2006,usa,1,0.9583381877006797
11916,17100550,38,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fxrdg,2013,usa,1,0.9234981426700032
11917,17103480,25,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,sil - silver,honda,vtx1800,2006,japan,1,0.8674514303239931
11918,17093041,38,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,mar - maroon,kawasaki,zn750,2,japan,1,0.9451754130465286
11919,17094899,39,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,honda,cbr600,2001,japan,1,0.9594046894771967
11920,17098064,25,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,ce11,2,japan,1,0.9457711066385388
11921,17103276,33,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,bmw,s 1000,201,Germany,1,0.9240812877852244
11922,17100145,28,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,suzuki,gsx,2006,japan,1,0.8892898721931606
11923,17097585,40,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzf600,2002,japan,1,0.925695116367571
11924,17099853,21,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,kawasaki,ex650,2013,japan,1,0.8958452197412083
11925,17100236,53,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xl1200,2008,usa,1,0.9549222469117532
11926,17098981,27,99 - unknown,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,suzuki,m50,2006,japan,1,0.6756906619774394
11927,17100825,52,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fltrx,2019,usa,1,0.9160960821358284
11928,17102002,44,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhs,2017,usa,1,0.8771856444326815
11929,17102331,26,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr1000,2006,japan,1,0.931422438264133
11930,17103314,61,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,gld - gold,harley-davidson,fltrxs,2015,usa,1,0.7291834663360981
11931,17103583,57,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,harley-davidson,fld,2014,usa,1,0.8307808508119402
11932,17099581,61,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhtcu,2013,usa,1,0.881310154443171
11933,17099604,49,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,fltrxse,2019,usa,1,0.8314699606543527
11934,17100058,57,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,genuine scooter co.,buddy,2014,Other,1,0.9663135085465401
11935,17101590,70,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,suzuki,c50,2008,japan,1,0.9895598577969433
11936,17102885,21,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr600,2009,japan,1,0.9426491798701446
11937,17104256,72,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,1997,usa,1,0.9473582453661809
11938,17163598,42,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,bmw,s 1000,2018,Germany,0,0.8718033559107892
11939,17101708,41,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2016,usa,1,0.9517545732703516
11940,17102385,42,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2016,usa,1,0.926208116720375
11941,17102665,59,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhtcui,2007,usa,1,0.9150193261917007
11942,17103458,37,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,honda,cbr600,2017,japan,1,0.9624619981684741
11943,17103919,32,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,ce50,1982,japan,1,0.8573363223936934
11944,17160374,22,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,honda,cbr500,2014,japan,1,0.8424382173400673
11945,17161638,20,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gs250,2003,japan,1,0.9374001561313512
11946,17167499,54,w - white,1 - male,1,k - fatal injury,mc - motorcycle,mar - maroon,suzuki,gsx,1982,japan,1,0.8241210386238512
11947,17162400,29,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fld,2003,usa,1,0.8928307791320155
