person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year
39,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,yamaha,yzfr1,2014
52,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2001
23,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx,2008
49,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fxdb,2009
64,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,fld,1997
45,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,vtx1300,2006
29,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,genuine scooter co.,buddy,2009
21,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,buell,blast,2005
26,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,yamaha,fz6,2009
67,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,bmw,r1200,2006
62,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2007
42,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,victory motorcycles,cross country,2012
33,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2005
57,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,fld,2015
27,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr500,2014
39,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,blk - black,harley-davidson,fld,2006
30,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,victory motorcycles,vx,2014
54,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxsts,2005
37,h - hispanic,1 - male,1,n - not injured,mc - motorcycle,blk - black,indian motorcycle co.,chief,2016
27,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx,2001
26,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fld,2017
23,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fld,2004
51,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,xg750,2015
31,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,kawasaki,zx600,2016
23,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,1995
59,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2009
54,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,flhp,1997
19,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr500,2016
60,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yiben,unknown,2016
71,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,gl1800,2018
32,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,xlh883,2015
18,w - white,1 - male,0,k - fatal injury,mc - motorcycle,grn - green,suzuki,gsx,1999
23,w - white,1 - male,0,n - not injured,mc - motorcycle,blk - black,honda,vf700,2007
22,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx-r600,2005
44,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,xvs1300,2009
26,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yxr660,2009
25,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,yamaha,yzfr6,2004
18,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,yamaha,yzfr6,2014
22,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,1997
21,w - white,1 - male,0,n - not injured,mc - motorcycle,mul - multicolored,yamaha,yw50,2014
41,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,gld - gold,yamaha,yzfr1,2001
33,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xl1200,2017
59,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2009
43,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,flht,2017
46,b - black,1 - male,0,n - not injured,mc - motorcycle,blk - black,harley-davidson,fltru,2012
50,w - white,1 - male,0,n - not injured,mc - motorcycle,blk - black,harley-davidson,xl1200,2014
30,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,buell,lightning,2005
20,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,yamaha,fz6,2009
70,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,honda,cbr600,2007
33,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,suzuki,gsx,2006
61,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xl1200,2008
24,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx,2008
28,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,honda,xl100,2016
23,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,honda,cbr1000,2006
28,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,whi - white,yamaha,fz09,2017
22,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzf600,2003
39,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,suzuki,gsf600,2008
26,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,kawasaki,ninja zx,1993
45,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,mar - maroon,harley-davidson,fld,2007
23,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,mar - maroon,victory motorcycles,cross country,2008
61,w - white,1 - male,1,k - fatal injury,mc - motorcycle,sil - silver,harley-davidson,fld,2004
39,a - asian,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,piaggio,bv,2013
44,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx,2007
53,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,harley-davidson,flhtcui,2006
35,99 - unknown,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,vrsca,2007
27,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,kawasaki,zr1000,2008
25,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2004
48,98 - other,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2015
36,w - white,1 - male,0,n - not injured,mc - motorcycle,blk - black,suzuki,c50,2008
37,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,kl600,2017
29,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flde,2015
37,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2011
12,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,crf125,2017
23,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fxs,2004
18,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx,1999
18,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,xl1200,2011
63,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,sil - silver,harley-davidson,xlx,2016
19,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,yel - yellow,honda,cbr600,2006
45,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,whi - white,harley-davidson,fld,2009
24,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,99 - unknown,kawasaki,ninja zx,2008
43,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xls,1993
23,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,victory motorcycles,cross country,2017
36,w - white,1 - male,0,k - fatal injury,mc - motorcycle,sil - silver,american iron horse,texas chopper,2006
43,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,m109r / vzr1800,2009
32,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,xlh,2008
22,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,suzuki,gsx-r1000,2003
49,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,fld,2007
57,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,1997
45,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,ple - purple,honda,cbr600,2007
26,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2004
39,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,xv1700,2007
19,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,honda,nss250,2005
30,98 - other,1 - male,0,a - suspected serious injury,mc - motorcycle,whi - white,harley-davidson,fld,2008
57,b - black,1 - male,0,n - not injured,mc - motorcycle,red - red,victory motorcycles,cross country,2016
63,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,bro - brown,kawasaki,zr750,2018
20,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2017
43,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,harley-davidson,fld,2006
50,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2012
49,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxdf,201
25,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,grn - green,kawasaki,ninja zx,2012
25,w - white,1 - male,0,n - not injured,mc - motorcycle,blk - black,suzuki,gs500,2003
58,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,honda,cbr600,2008
34,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,kawasaki,kl650,2017
41,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,harley-davidson,flhr/i,2002
53,99 - unknown,1 - male,0,b - suspected minor injury,mc - motorcycle,yel - yellow,buell,lightning,2
23,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2001
80,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2012
53,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2005
56,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr600,2
31,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,victory motorcycles,cross country,2012
35,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2001
22,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,honda,cbr600,2002
51,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,grn - green,kawasaki,ninja zx,2015
41,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,fld,2013
68,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,victory motorcycles,cross country,2012
21,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,suzuki,gsx,2006
41,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,indian motorcycle co.,scout,2015
32,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,honda,crf150,2009
68,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,kawasaki,kl650,2017
36,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr900,2003
61,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,mar - maroon,harley-davidson,flhtcu,2001
48,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,honda,cbr1000,2015
41,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,bmw,s 1000,2013
29,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,indian motorcycle co.,scout,2016
28,a - asian,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,yamaha,yzfr1,201
62,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhtp,2003
19,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2003
39,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,vrscf,2012
35,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,yamaha,yzf750,2001
62,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,all other makes,unknown,2012
19,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2002
24,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xl883,2016
26,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr250,2009
35,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,whi - white,honda,cbr600,2015
30,a - asian,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr1000,2015
17,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,triumph motorcycle,bonneville,2014
22,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,er650,2015
56,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2002
17,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2007
31,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2007
28,h - hispanic,1 - male,1,n - not injured,mc - motorcycle,sil - silver,yamaha,xvs1100,2007
22,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,cm250,2003
26,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,suzuki,gsx-r1000,2003
23,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,1991
24,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,kawasaki,zx600,2001
22,98 - other,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,klx650,2007
58,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,kawasaki,ninja zx,2006
32,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,grn - green,kawasaki,zr1200,2001
60,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fld,2003
22,b - black,2 - female,0,b - suspected minor injury,mc - motorcycle,yel - yellow,suzuki,gsx,2003
53,w - white,1 - male,0,k - fatal injury,mc - motorcycle,sil - silver,honda,st1300,2007
24,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,bro - brown,harley-davidson,xl1200,1999
46,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,honda,cbr600,2006
47,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2011
21,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,triumph motorcycle,daytona,2007
26,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,kawasaki,er650,2017
27,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,whi - white,suzuki,gsx1300,2011
21,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,suzuki,gsx-r600,2005
29,98 - other,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,suzuki,gsx,2006
50,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2006
34,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,kawasaki,vn1600,2004
40,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flh80,2014
32,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2007
68,w - white,1 - male,1,n - not injured,mc - motorcycle,blu - blue,kawasaki,vn1700,2013
55,w - white,1 - male,0,n - not injured,mc - motorcycle,ong - orange,harley-davidson,fltrx,2015
45,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,bmw,r1200,2008
49,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,bge - beige,harley-davidson,flhr,2014
30,w - white,1 - male,0,k - fatal injury,mc - motorcycle,ple - purple,harley-davidson,fld,2004
30,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,kawasaki,zx636,2006
35,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,sil - silver,yamaha,xv1000,2009
51,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,vl1500,2007
24,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,mul - multicolored,honda,c-series,201
41,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,vzr1800,2017
41,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,honda,cbr600,1995
27,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,vtx1300,2007
29,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fxd,2008
62,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxd,2007
37,h - hispanic,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xl883,2012
21,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,isuzu,i-280,2003
36,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,victory motorcycles,high-ball,2012
21,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,moto guzzi,v7,2016
21,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,yamaha,yzfr6,2009
39,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,honda,st1300,2006
65,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,bmw,r100,1992
38,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,honda,cbr1100,1999
49,b - black,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2017
14,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,crf150,2009
27,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fltrx,2017
44,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,victory motorcycles,cross country,2006
42,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2009
56,w - white,1 - male,0,n - not injured,mc - motorcycle,grn - green,harley-davidson,fld,1996
