,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_defect_1,vehicle_make,vehicle_model_name,vehicle_model_year
3056,39,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2002.0
3057,37,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,xl1200 (harley-davidson),2006.0
3058,28,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,mar - maroon,98 - other  (explain in narrative),harley-davidson,flhx (harley-davidson),2012.0
3059,29,h - hispanic,1 - male,0,k - fatal injury,mc - motorcycle,grn - green,12 - defective or slick tires,kawasaki,zx636 (kawasaki),2020.0
3060,23,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,ong - orange,98 - other  (explain in narrative),suzuki,gsx1300 (suzuki),2003.0
3061,25,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),yamaha,unknown (yamaha),1977.0
3062,69,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,unknown (honda),1999.0
3063,25,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,98 - other  (explain in narrative),triumph motorcycle,daytona 675r (triumph motorcycle),2010.0
3064,27,b - black,2 - female,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),can-am,spyder roadster (can-am),2021.0
3065,23,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,xlh883 (harley-davidson),2006.0
3066,38,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,98 - other  (explain in narrative),harley-davidson,flhx (harley-davidson),2011.0
3067,46,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,mar - maroon,98 - other  (explain in narrative),honda,gl1200 (honda),1986.0
3068,44,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2015.0
3069,25,b - black,1 - male,1,k - fatal injury,mc - motorcycle,ple - purple,98 - other  (explain in narrative),prevost,unknown (prevost),2003.0
3070,54,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2020.0
3071,40,b - black,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flsl (harley-davidson),2019.0
3072,16,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),yamaha,unknown (yamaha),2007.0
3073,59,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fld (harley-davidson),2005.0
3074,25,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),harley-davidson,fxb (harley-davidson),2019.0
3075,52,w - white,1 - male,1,n - not injured,mc - motorcycle,gry - gray,98 - other  (explain in narrative),harley-davidson,flfb (harley-davidson),2020.0
3076,41,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),can-am,ryker (can-am),2020.0
3077,31,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,98 - other  (explain in narrative),honda,c-series (honda),2019.0
3078,27,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),arlington power systems,not applicable (arlington power systems),2015.0
3079,49,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,elw (harley-davidson),2008.0
3080,23,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),suzuki,rf600 (suzuki),2005.0
3081,48,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,11 - defective steering mechanism,harley-davidson,unknown (harley-davidson),2010.0
3082,47,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),suzuki,gs700 (suzuki),2007.0
3083,30,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fxdb (harley-davidson),2009.0
3084,63,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2018.0
3085,73,w - white,1 - male,0,k - fatal injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),kawasaki,vn2000 (kawasaki),2010.0
3086,32,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flhc (harley-davidson),2017.0
3087,39,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),honda,gl1800 (honda),2006.0
3088,31,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,cbr1000 (honda),2003.0
3089,31,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,tan - tan,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),1986.0
3090,67,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),1994.0
3091,63,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2009.0
3092,62,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,bro - brown,98 - other  (explain in narrative),bmw,unknown (bmw),1988.0
3093,53,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,98 - other  (explain in narrative),triumph motorcycle,unknown (triumph motorcycle),2021.0
3094,32,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,98 - other  (explain in narrative),indian motorcycle co.,chief (indian motorcycle co.),2019.0
3095,30,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,xl1200 (harley-davidson),2008.0
3096,26,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,xls (harley-davidson),2011.0
3097,52,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2015.0
3098,39,h - hispanic,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),can-am,unknown (can-am),2020.0
3099,31,a - asian,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fxd (harley-davidson),2008.0
3100,30,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flhx (harley-davidson),2012.0
3101,24,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),suzuki,gsx750 (suzuki),2018.0
3102,41,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),harley-davidson,fxdwg (harley-davidson),2014.0
3103,36,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,mar - maroon,98 - other  (explain in narrative),honda,gl1200 (honda),1986.0
3104,17,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),honda,cb600 (honda),2004.0
3105,38,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,gry - gray,98 - other  (explain in narrative),suzuki,gsx1300 (suzuki),2020.0
3106,43,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,vfr800 (honda),2006.0
3107,62,w - white,1 - male,1,k - fatal injury,mc - motorcycle,bro - brown,98 - other  (explain in narrative),harley-davidson,flstc (harley-davidson),2013.0
3108,22,h - hispanic,2 - female,0,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),piaggio,unknown (piaggio),2020.0
3109,22,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),yamaha,fzr600 (yamaha),2014.0
3110,23,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,vt750 (honda),2018.0
3111,42,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),yamaha,yzfr6 (yamaha),2006.0
3112,44,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),suzuki,gsx-r1000 (suzuki),2002.0
3113,25,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,ple - purple,98 - other  (explain in narrative),kawasaki,zx600 (kawasaki),2007.0
3114,69,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),suzuki,unknown (suzuki),1995.0
3115,77,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fxs (harley-davidson),2001.0
3116,45,h - hispanic,1 - male,0,k - fatal injury,mc - motorcycle,ple - purple,98 - other  (explain in narrative),harley-davidson,flhrci (harley-davidson),2004.0
3117,62,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,cb1000 (honda),1995.0
3118,39,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,xls (harley-davidson),2018.0
3119,57,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,98 - other  (explain in narrative),honda,unknown (honda),2010.0
3120,34,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),triumph motorcycle,scrambler (triumph motorcycle),2019.0
3121,53,w - white,1 - male,0,k - fatal injury,mc - motorcycle,red - red,98 - other  (explain in narrative),harley-davidson,flhtcu (harley-davidson),2007.0
3122,22,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fls (harley-davidson),2006.0
3123,39,w - white,1 - male,0,n - not injured,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2007.0
3124,36,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,elw (harley-davidson),2011.0
3125,61,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),1999.0
3126,27,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2007.0
3127,54,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flhx (harley-davidson),2007.0
3128,23,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),yamaha,yzf600 (yamaha),2003.0
3129,24,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,xl883 (harley-davidson),2019.0
3130,18,a - asian,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,xl250 (honda),1982.0
3131,37,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,unknown (honda),2019.0
3132,39,w - white,1 - male,0,n - not injured,mc - motorcycle,mul - multicolored,98 - other  (explain in narrative),honda,unknown (honda),2004.0
3133,50,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,98 - other  (explain in narrative),honda,fsc600 (honda),2008.0
3134,64,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,98 - other  (explain in narrative),harley-davidson,flhc (harley-davidson),2017.0
3135,25,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),honda,cbr1000 (honda),2008.0
3136,24,b - black,1 - male,1,n - not injured,mc - motorcycle,whi - white,98 - other  (explain in narrative),bmw,s 1000 (bmw),2015.0
3137,26,w - white,1 - male,0,n - not injured,mc - motorcycle,blk - black,98 - other  (explain in narrative),yamaha,rt100 (yamaha),2009.0
3138,46,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,mar - maroon,98 - other  (explain in narrative),harley-davidson,flst (harley-davidson),2017.0
3139,43,b - black,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,ninja zx (kawasaki),2011.0
3140,76,w - white,1 - male,1,k - fatal injury,mc - motorcycle,sil - silver,98 - other  (explain in narrative),yamaha,fzs10 (yamaha),2005.0
3141,24,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,gry - gray,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2020.0
3142,25,w - white,1 - male,0,n - not injured,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,kx250 (kawasaki),2012.0
3143,70,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,klx650 (kawasaki),2009.0
