crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year,vehicle_make_country,injury_binary
17148650,21,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,yel - yellow,yamaha,wr450,2001,Japan,1
17154375,68,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,xv1100,2005,Japan,1
17131039,28,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2015,USA,1
17134450,43,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,aprilia,tuono,2018,Italy,1
17137622,30,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,ducati,monster,2019,Italy,1
17137880,43,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,fxdc,2011,USA,1
17138229,47,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,fxdb,2011,USA,0
17140261,59,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2017,USA,1
17145031,38,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,yamaha,xvs950,2014,Japan,1
17151244,33,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,honda,vt750,2011,Japan,1
17152639,18,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,suzuki,gsx,2005,Japan,1
17131084,38,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,grn - green,harley-davidson,fld,201,USA,1
17132282,21,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx,2011,Japan,1
17132721,53,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fls,2009,USA,1
17133382,72,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,mar - maroon,harley-davidson,fld,2005,USA,1
